Date,EDPR.LS,EDP.LS
2014-12-31,5.171134948730469,2.1943280696868896
2015-01-02,5.2849650382995605,2.20378041267395
2015-01-05,5.069740295410156,2.1328868865966797
2015-01-06,5.117568016052246,2.095752000808716
2015-01-07,5.165396213531494,2.093050956726074
2015-01-08,5.198875427246094,2.1403138637542725
2015-01-09,5.144351959228516,2.1011533737182617
2015-01-12,5.211310863494873,2.126810073852539
2015-01-13,5.246702671051025,2.205806016921997
2015-01-14,5.205570220947266,2.177448272705078
2015-01-15,5.334705829620361,2.27940034866333
2015-01-16,5.449492454528809,2.2962796688079834
2015-01-19,5.4427971839904785,2.321260929107666
2015-01-20,5.382534027099609,2.3118088245391846
2015-01-21,5.456188201904297,2.356370687484741
2015-01-22,5.748894691467285,2.37730073928833
2015-01-23,5.704892635345459,2.396881341934204
2015-01-26,5.921074867248535,2.398906707763672
2015-01-27,5.789069652557373,2.3833773136138916
2015-01-28,5.758459091186523,2.3543450832366943
2015-01-29,5.739327907562256,2.384728193283081
2015-01-30,5.672369480133057,2.2800755500793457
2015-02-02,5.643673896789551,2.269272804260254
2015-02-03,5.65897798538208,2.2854771614074707
2015-02-04,5.6599345207214355,2.2577946186065674
2015-02-05,5.6341071128845215,2.20378041267395
2015-02-06,5.54227876663208,2.1835248470306396
2015-02-09,5.454275131225586,2.167320728302002
2015-02-10,5.492537498474121,2.22133469581604
2015-02-11,5.4810590744018555,2.159893751144409
2015-02-12,5.59393310546875,2.188251495361328
2015-02-13,5.658021450042725,2.1889264583587646
2015-02-16,5.722110271453857,2.1700217723846436
2015-02-17,5.739327907562256,2.2064807415008545
2015-02-18,5.769938945770264,2.211207389831543
2015-02-19,5.748894691467285,2.1943280696868896
2015-02-20,5.5958452224731445,2.2449662685394287
2015-02-23,5.611150741577148,2.286151647567749
2015-02-24,5.646542549133301,2.352994680404663
2015-02-25,5.692457675933838,2.3509693145751953
2015-02-26,5.787156581878662,2.3435420989990234
2015-02-27,5.920117378234863,2.3806769847869873
2015-03-02,5.834983825683594,2.3698742389678955
2015-03-03,5.769938945770264,2.357045888900757
2015-03-04,5.664717197418213,2.2854771614074707
2015-03-05,5.80628776550293,2.332064151763916
2015-03-06,5.831157684326172,2.263871192932129
2015-03-09,5.780460357666016,2.2503674030303955
2015-03-10,5.782374382019043,2.2247109413146973
2015-03-11,5.8981170654296875,2.2821011543273926
2015-03-12,5.962205410003662,2.300330877304077
2015-03-13,6.064557075500488,2.325312614440918
2015-03-16,6.035860538482666,2.3502941131591797
2015-03-17,6.024381637573242,2.356370687484741
2015-03-18,6.143951892852783,2.3928301334381104
2015-03-19,6.180300235748291,2.3752753734588623
2015-03-20,6.187952995300293,2.398906707763672
2015-03-23,6.083688259124756,2.412410259246826
2015-03-24,6.156386375427246,2.428614616394043
2015-03-25,6.179344177246094,2.4542713165283203
2015-03-26,6.041599273681641,2.4184868335723877
2015-03-27,6.071253299713135,2.4171364307403564
2015-03-30,6.111429214477539,2.404308319091797
2015-03-31,6.121950626373291,2.352994680404663
2015-04-01,6.110472202301025,2.3631224632263184
2015-04-02,6.111429214477539,2.372574806213379
2015-04-07,6.198475360870361,2.4272642135620117
2015-04-08,6.2290849685668945,2.4306399822235107
2015-04-09,6.283608436584473,2.5049099922180176
2015-04-10,6.209953784942627,2.4941067695617676
2015-04-13,6.262564182281494,2.5190885066986084
2015-04-14,6.218562602996826,2.4920811653137207
2015-04-15,6.238649845123291,2.5035593509674072
2015-04-16,6.035860538482666,2.4468443393707275
2015-04-17,5.942118167877197,2.429965019226074
2015-04-20,5.9641194343566895,2.4205124378204346
2015-04-21,5.997598648071289,2.4049835205078125
2015-04-22,5.965075492858887,2.3840527534484863
2015-04-23,5.916290760040283,2.379326820373535
2015-04-24,6.102819919586182,2.413085699081421
2015-04-27,6.071253299713135,2.4205124378204346
2015-04-28,6.054035186767578,2.41646146774292
2015-04-29,5.957423210144043,2.3718996047973633
2015-04-30,5.98133659362793,2.4117350578308105
2015-05-04,6.101863384246826,2.4400925636291504
2015-05-05,6.010990142822266,2.3631224632263184
2015-05-06,5.956117153167725,2.3401665687561035
2015-05-07,5.984034538269043,2.370549201965332
2015-05-08,6.199676036834717,2.4643988609313965
2015-05-11,6.194862365722656,2.4677748680114746
2015-05-12,6.20930290222168,2.4861068725585938
2015-05-13,6.419167518615723,2.532987594604492
2015-05-14,6.461524963378906,2.5408010482788086
2015-05-15,6.3825860023498535,2.5258843898773193
2015-05-18,6.4162797927856445,2.543642520904541
2015-05-19,6.496182441711426,2.5635313987731934
2015-05-20,6.507734298706055,2.5720553398132324
2015-05-21,6.471153259277344,2.5677928924560547
2015-05-22,6.481741905212402,2.560689926147461
2015-05-25,6.31808614730835,2.511678457260132
2015-05-26,6.225668907165527,2.49605131149292
2015-05-27,6.266100883483887,2.553586721420288
2015-05-28,6.320973873138428,2.5393805503845215
2015-05-29,6.308459281921387,2.525174379348755
2015-06-01,6.267063617706299,2.51096773147583
2015-06-02,6.2766900062561035,2.5308566093444824
2015-06-03,6.353704929351807,2.5138092041015625
2015-06-04,6.440346717834473,2.4917891025543213
2015-06-05,6.310384750366211,2.4456188678741455
2015-06-08,6.158280372619629,2.376718044281006
2015-06-09,6.193899631500244,2.3824007511138916
2015-06-10,6.307496547698975,2.407261848449707
2015-06-11,6.324824810028076,2.4349639415740967
2015-06-12,6.277653217315674,2.4150753021240234
2015-06-15,6.146728515625,2.381690263748169
2015-06-16,6.291130542755127,2.3944759368896484
2015-06-17,6.244922161102295,2.405130386352539
