Data,Hora,Produto,ISIN,Bolsa,Quantidade,,Preços,,Valor local,,Valor,Taxa de Câmbio,,Taxa,,Total,ID da Ordem
28-05-2019,14:13,BMW C68.00 21JUN19,DE000C8FXPC4,ERX,1,EUR,0.4600,EUR,-46.00,EUR,-46.00,,EUR,-0.90,EUR,-46.90,353d73eb-46ca-4839-bc12-803cc58345d6
17-05-2019,22:00,IBE P7.75 17MAY19,DE000C2YY0P9,ERX,-1,EUR,0.0000,EUR,0.00,EUR,0.00,,,,EUR,0.00,
16-05-2019,12:10,IBE C7.75 17MAY19,DE000C2YY0N4,ERX,-1,EUR,0.4100,EUR,41.00,EUR,41.00,,EUR,-0.90,EUR,40.10,3d8c6536-da69-4e57-a418-7b6916fc19d7
23-04-2019,09:19,IBE C7.75 17MAY19,DE000C2YY0N4,ERX,1,EUR,0.1900,EUR,-19.00,EUR,-19.00,,EUR,-0.90,EUR,-19.90,bc6fb4da-29f6-48e8-b2fc-3270835c88f4
23-04-2019,09:19,IBE P7.75 17MAY19,DE000C2YY0P9,ERX,1,EUR,0.1300,EUR,-13.00,EUR,-13.00,,EUR,-0.90,EUR,-13.90,bb234210-ce6c-4227-81a5-97a0fdf1bdba
18-04-2019,22:00,ABBN P19.50 18APR19,DE000C267T09,ERX,-1,CHF,0.0000,CHF,0.00,EUR,0.00,1.1349,,,EUR,0.00,
17-04-2019,13:07,AHO P22.40 18APR19,DE000C321HA3,ERX,-1,EUR,0.4100,EUR,41.00,EUR,41.00,,EUR,-0.90,EUR,40.10,75c72e85-95dc-4948-b32b-0f73b6ded961
05-04-2019,14:36,AIX C8.60 18APR19,DE000C321LR9,ERX,-1,EUR,0.5200,EUR,52.00,EUR,52.00,,EUR,-0.90,EUR,51.10,a9a8d64d-ff70-40e6-85a6-da9ab4ed56bd
04-04-2019,14:12,ABBN P19.50 18APR19,DE000C267T09,ERX,1,CHF,0.2200,CHF,-22.00,EUR,-19.65,1.1196,EUR,-0.90,EUR,-20.55,0d963adc-4c7c-4f4b-8879-6ff5fa1e4362
02-04-2019,13:08,AIX C8.60 18APR19,DE000C321LR9,ERX,1,EUR,0.2500,EUR,-25.00,EUR,-25.00,,EUR,-0.90,EUR,-25.90,85d73fcd-7128-4434-a319-3162c9b48d5f
25-03-2019,14:01,AHO P22.40 18APR19,DE000C321HA3,ERX,1,EUR,0.2300,EUR,-23.00,EUR,-23.00,,EUR,-0.90,EUR,-23.90,94b63b1f-421f-4950-af1e-09f7c527821b
15-01-2019,15:51,VIDRALA,ES0183746314,MAD,3,EUR,76.2000,EUR,-228.60,EUR,-228.60,,EUR,-4.13,EUR,-232.73,6b97cd62-b3aa-4136-aa1d-e349ddf2c909
03-05-2018,09:00,PHAROL,PTPTC0AM0009,ELI,142,EUR,0.2780,EUR,-39.48,EUR,-39.48,,EUR,-0.52,EUR,-40.00,b46c2092-3580-4359-8c77-7beba3ad654e
04-04-2018,09:00,INDITEX,ES0148396007,MAD,8,EUR,25.7000,EUR,-205.60,EUR,-205.60,,EUR,-4.08,EUR,-209.68,26028c30-c151-4a02-98d6-23f88448e1d1
26-09-2017,11:14,B.COM.PORTUGUES,PTBCP0AM0015,ELI,7,EUR,0.2293,EUR,-1.61,EUR,-1.61,,EUR,-0.50,EUR,-2.11,12de8225-2063-4abd-a2fa-6d61b4af142c
06-09-2017,11:19,PHAROL,PTPTC0AM0009,ELI,3,EUR,0.3070,EUR,-0.92,EUR,-0.92,,EUR,-0.50,EUR,-1.42,cd43098b-f417-4784-9189-b1008445f9a2
