Date,SEM.LS,NVG.LS
2014-12-31,8.467557907104492,2.1212124824523926
2015-01-02,8.438360214233398,2.1316616535186768
2015-01-05,8.40081787109375,2.109369993209839
2015-01-06,8.33407974243164,2.0766286849975586
2015-01-07,8.138031959533691,2.0522470474243164
2015-01-08,8.384134292602539,2.1908745765686035
2015-01-09,8.34242057800293,2.156043767929077
2015-01-12,8.413331985473633,2.1657962799072266
2015-01-13,8.509268760681152,2.203413963317871
2015-01-14,8.676116943359375,2.2298855781555176
2015-01-15,8.78456974029541,2.2709860801696777
2015-01-16,8.676116943359375,2.272379159927368
2015-01-19,8.676116943359375,2.2640199661254883
2015-01-20,8.425846099853516,2.277952194213867
2015-01-21,8.413331985473633,2.315570116043091
2015-01-22,8.379962921142578,2.3671200275421143
2015-01-23,8.450872421264648,2.4110069274902344
2015-01-26,8.717830657958984,2.4409618377685547
2015-01-27,8.384134292602539,2.4019510746002197
2015-01-28,8.459216117858887,2.4416584968566895
2015-01-29,8.500926971435547,2.5252528190612793
2015-01-30,8.684459686279297,2.5022644996643066
2015-02-02,8.776227951049805,2.461860418319702
2015-02-03,8.842966079711914,2.5057475566864014
2015-02-04,8.801254272460938,2.539881944656372
2015-02-05,8.847136497497559,2.559387445449829
2015-02-06,8.897192001342773,2.568443536758423
2015-02-09,8.676116943359375,2.5496346950531006
2015-02-10,8.67194652557373,2.562174081802368
2015-02-11,8.772056579589844,2.584465980529785
2015-02-12,8.842966079711914,2.6032748222351074
2015-02-13,9.039013862609863,2.59073543548584
2015-02-16,8.855480194091797,2.5635671615600586
2015-02-17,8.797082901000977,2.557297706604004
2015-02-18,8.855480194091797,2.5663540363311768
2015-02-19,8.75537109375,2.5670502185821533
2015-02-20,8.918048858642578,2.5774993896484375
2015-02-23,8.897192001342773,2.601881265640259
2015-02-24,9.39356803894043,2.6527347564697266
2015-02-25,9.760632514953613,2.7168242931365967
2015-02-26,10.181925773620605,2.709857702255249
2015-02-27,10.31123161315918,2.74817156791687
2015-03-02,10.12769889831543,2.74817156791687
2015-03-03,10.035932540893555,2.7223966121673584
2015-03-04,9.923310279846191,2.7028913497924805
2015-03-05,10.261178016662598,2.7425990104675293
2015-03-06,10.307060241699219,2.7669806480407715
2015-03-09,10.415512084960938,2.7725536823272705
2015-03-10,10.340433120727539,2.7704639434814453
2015-03-11,10.678298950195312,2.867990732192993
2015-03-12,10.728353500366211,2.890979290008545
2015-03-13,10.84097671508789,2.909787893295288
2015-03-16,10.782580375671387,2.904215097427368
2015-03-17,10.707496643066406,2.8840126991271973
2015-03-18,10.590703964233398,2.868687152862549
2015-03-19,10.473909378051758,2.871474027633667
2015-03-20,10.686641693115234,2.929293394088745
2015-03-23,10.715841293334961,2.932776689529419
2015-03-24,10.790921211242676,2.9397425651550293
2015-03-25,10.574018478393555,2.9251139163970947
2015-03-26,10.282033920288086,2.8819234371185303
2015-03-27,10.469738960266113,2.918843984603882
2015-03-30,10.436369895935059,2.8944623470306396
2015-03-31,10.377971649169922,2.904215097427368
