Date,NFLX,DIS
2014-12-31,48.801429748535156,87.7863540649414
2015-01-02,49.84857177734375,87.37626647949219
2015-01-05,47.31142807006836,86.09940338134766
2015-01-06,46.50143051147461,85.64270782470703
2015-01-07,46.74285888671875,86.51881408691406
2015-01-08,47.779998779296875,87.41353607177734
2015-01-09,47.04142761230469,87.84225463867188
2015-01-12,45.547142028808594,88.0379867553711
2015-01-13,46.255714416503906,88.7183609008789
2015-01-14,46.31999969482422,87.82362365722656
2015-01-15,46.25143051147461,87.93545532226562
2015-01-16,48.191429138183594,88.70903778076172
2015-01-20,49.82857131958008,88.2989501953125
2015-01-21,58.468570709228516,87.7677001953125
2015-01-22,61.20571517944336,88.68107604980469
2015-01-23,62.494285583496094,88.28031158447266
2015-01-26,63.79428482055664,88.5133285522461
2015-01-27,64.88143157958984,87.581298828125
2015-01-28,63.20857238769531,86.36968231201172
2015-01-29,63.400001525878906,86.88228607177734
2015-01-30,63.11428451538086,84.77593994140625
2015-02-02,63.0099983215332,85.67999267578125
2015-02-03,65.27428436279297,87.70246124267578
2015-02-04,64.10143280029297,94.39430236816406
2015-02-05,64.12999725341797,95.6618423461914
2015-02-06,63.47999954223633,95.08401489257812
2015-02-09,63.29571533203125,94.81373596191406
2015-02-10,64.8499984741211,94.99081420898438
2015-02-11,64.98428344726562,94.94419860839844
2015-02-12,65.24714660644531,96.53795623779297
2015-02-13,66.5857162475586,97.08783721923828
2015-02-17,67.13714599609375,97.0412368774414
2015-02-18,67.86571502685547,96.79890441894531
2015-02-19,67.80000305175781,96.82688903808594
2015-02-20,68.31428527832031,97.44200134277344
2015-02-23,67.40571594238281,97.85208129882812
2015-02-24,67.83999633789062,97.5538330078125
2015-02-25,68.33285522460938,98.39266204833984
2015-02-26,69.00428771972656,97.45132446289062
2015-02-27,67.84428405761719,97.00395202636719
2015-03-02,68.60713958740234,98.69090270996094
2015-03-03,67.81571197509766,99.11962127685547
2015-03-04,67.11000061035156,98.39266204833984
2015-03-05,66.80714416503906,97.88935852050781
2015-03-06,64.87428283691406,96.76162719726562
2015-03-09,63.66143035888672,98.1037368774414
2015-03-10,62.15142822265625,96.08126068115234
2015-03-11,62.88428497314453,95.8948745727539
2015-03-12,64.04571533203125,99.88387298583984
2015-03-13,62.628570556640625,99.2035140991211
2015-03-16,60.281429290771484,100.07027435302734
2015-03-17,59.788570404052734,99.68814849853516
2015-03-18,60.44571304321289,100.62947845458984
2015-03-19,60.744285583496094,100.07027435302734
2015-03-20,61.18571472167969,101.0582046508789
2015-03-23,60.71428680419922,100.86249542236328
2015-03-24,62.611427307128906,99.82795715332031
2015-03-25,60.25,97.86141204833984
2015-03-26,59.75143051147461,98.08509063720703
2015-03-27,59.25285720825195,98.30876922607422
2015-03-30,60.36714172363281,98.90526580810547
2015-03-31,59.52714157104492,97.7588882446289
2015-04-01,59.01714324951172,98.271484375
2015-04-02,59.1542854309082,98.79342651367188
2015-04-06,60.33000183105469,98.44857025146484
2015-04-07,60.494285583496094,98.26216888427734
2015-04-08,63.04999923706055,99.12895202636719
2015-04-09,62.78571319580078,99.51107025146484
2015-04-10,64.93856811523438,99.67884826660156
2015-04-13,67.81143188476562,99.26875305175781
2015-04-14,68.38714599609375,99.40856170654297
2015-04-15,67.92285919189453,99.706787109375
2015-04-16,80.29285430908203,100.75065612792969
2015-04-17,81.6500015258789,99.43651580810547
2015-04-20,81.05571746826172,100.86249542236328
2015-04-21,80.06285858154297,100.35919952392578
2015-04-22,79.66857147216797,100.6015396118164
2015-04-23,79.86571502685547,101.58946990966797
2015-04-24,79.77143096923828,102.08342742919922
2015-04-27,80.86856842041016,102.67060852050781
2015-04-28,80.43714141845703,102.44691467285156
2015-04-29,80.40714263916016,102.34439086914062
2015-04-30,79.5,101.3284912109375
2015-05-01,79.57571411132812,103.00611114501953
2015-05-04,79.27143096923828,103.4814453125
2015-05-05,80.79285430908203,103.27639770507812
2015-05-06,80.07714080810547,102.26051330566406
2015-05-07,80.74857330322266,101.83177947998047
2015-05-08,82.0857162475586,102.62400817871094
2015-05-11,84.27857208251953,101.21665954589844
2015-05-12,83.37714385986328,101.81314086914062
2015-05-13,82.87285614013672,101.76654052734375
2015-05-14,83.8357162475586,102.45623016357422
2015-05-15,87.60713958740234,102.80109405517578
2015-05-18,88.26714324951172,102.82904052734375
2015-05-19,88.06857299804688,103.04338836669922
2015-05-20,88.79000091552734,102.70787048339844
2015-05-21,89.00285339355469,102.88495635986328
2015-05-22,88.83856964111328,102.7637939453125
2015-05-26,87.99285888671875,101.99954986572266
2015-05-27,89.85713958740234,102.86631774902344
2015-05-28,89.50714111328125,103.01544952392578
2015-05-29,89.15142822265625,102.86631774902344
2015-06-01,89.00285339355469,103.41619873046875
2015-06-02,89.12999725341797,103.22048950195312
2015-06-03,88.8085708618164,103.6119384765625
2015-06-04,89.34857177734375,102.80109405517578
2015-06-05,90.45999908447266,102.80109405517578
2015-06-08,89.60428619384766,101.85975646972656
2015-06-09,92.44999694824219,101.14210510253906
2015-06-10,95.87142944335938,102.52147674560547
2015-06-11,95.09428405761719,103.09932708740234
2015-06-12,94.41857147216797,102.47488403320312
2015-06-15,93.43142700195312,102.68925476074219
2015-06-16,95.27285766601562,103.50941467285156
2015-06-17,94.27143096923828,103.91018676757812
2015-06-18,94.74285888671875,105.5225601196289
2015-06-19,93.87142944335938,104.9633560180664
2015-06-22,96.4142837524414,105.81149291992188
2015-06-23,97.31285858154297,106.63166046142578
2015-06-24,96.94428253173828,106.03515625
