Date,HEIA.AS,ABI.BR
2014-12-31,52.89530563354492,74.92770385742188
2015-01-02,51.79163360595703,73.96177673339844
2015-01-05,50.99304962158203,72.3093032836914
2015-01-06,50.9751091003418,71.59083557128906
2015-01-07,51.56731414794922,73.33112335205078
2015-01-08,52.96709060668945,76.9633560180664
2015-01-09,51.57628631591797,75.49449157714844
2015-01-12,52.87736511230469,76.8036880493164
2015-01-13,53.71183776855469,77.78558349609375
2015-01-14,54.4835090637207,76.6919174194336
2015-01-15,54.887290954589844,79.03092956542969
2015-01-16,56.25117492675781,80.42793273925781
2015-01-19,57.28306579589844,80.70733642578125
2015-01-20,56.6998176574707,80.34811401367188
2015-01-21,56.51138687133789,81.50562286376953
2015-01-22,56.24220275878906,82.74298858642578
2015-01-23,58.46748733520508,85.49708557128906
2015-01-26,58.91613006591797,85.49708557128906
2015-01-27,58.655921936035156,84.69880676269531
2015-01-28,59.068668365478516,85.6966552734375
2015-01-29,59.94801712036133,86.4949722290039
2015-01-30,59.47244644165039,86.29537200927734
2015-02-02,60.05568313598633,86.29537200927734
2015-02-03,59.35580062866211,86.89409637451172
2015-02-04,59.24812698364258,87.21341705322266
2015-02-05,59.39169692993164,86.81429290771484
2015-02-06,59.01483154296875,85.73657989501953
2015-02-09,57.579166412353516,84.73871612548828
2015-02-10,57.96500015258789,85.57691192626953
2015-02-11,59.57114791870117,85.896240234375
2015-02-12,59.61601638793945,86.0958023071289
2015-02-13,58.969970703125,84.93828582763672
2015-02-16,58.297000885009766,84.73871612548828
2015-02-17,59.49039840698242,86.01598358154297
2015-02-18,58.87126922607422,85.33744812011719
2015-02-19,60.26206970214844,86.61470031738281
2015-02-20,60.3159065246582,86.1756362915039
2015-02-23,60.80940628051758,87.97179412841797
2015-02-24,61.26702880859375,88.65035247802734
2015-02-25,61.03373718261719,87.97179412841797
2015-02-26,62.559139251708984,90.68598175048828
2015-02-27,62.66679763793945,90.76580810546875
2015-03-02,62.69373321533203,90.84565734863281
2015-03-03,63.00777053833008,90.08724975585938
2015-03-04,63.725608825683594,91.28471374511719
2015-03-05,65.0536117553711,92.48214721679688
2015-03-06,65.49327850341797,92.36239624023438
2015-03-09,65.21511840820312,91.40444946289062
2015-03-10,64.90106964111328,89.00956726074219
2015-03-11,66.27392578125,92.20275115966797
2015-03-12,66.01370239257812,91.76368713378906
2015-03-13,66.09445190429688,91.88343048095703
2015-03-16,67.13531494140625,92.04308319091797
2015-03-17,65.92398071289062,91.24479675292969
2015-03-18,66.02266693115234,90.84565734863281
2015-03-19,65.06258392333984,91.08513641357422
2015-03-20,65.4215087890625,90.88555908203125
2015-03-23,65.1971664428711,90.56623840332031
2015-03-24,65.04462432861328,89.92760467529297
2015-03-25,63.41156768798828,89.16922760009766
2015-03-26,63.92301559448242,89.04949188232422
2015-03-27,64.02171325683594,89.40872192382812
2015-03-30,64.86516571044922,91.3645248413086
2015-03-31,63.73458480834961,90.84565734863281
2015-04-01,64.2908935546875,91.40444946289062
2015-04-02,65.02667999267578,92.36239624023438
2015-04-07,65.79833984375,93.63967895507812
2015-04-08,65.70863342285156,92.44223022460938
2015-04-09,66.43543243408203,93.79933166503906
2015-04-10,67.0186767578125,94.2383804321289
2015-04-13,67.37757873535156,94.59761810302734
2015-04-14,67.13531494140625,93.79933166503906
2015-04-15,66.98278045654297,93.55984497070312
2015-04-16,66.87510681152344,92.28258514404297
2015-04-17,65.6727294921875,91.20487213134766
2015-04-20,66.2021255493164,91.5241928100586
2015-04-21,67.96981811523438,91.60403442382812
2015-04-22,65.92398071289062,90.92546844482422
2015-04-23,66.0765151977539,90.28685760498047
2015-04-24,65.55608367919922,90.68598175048828
2015-04-27,66.15435791015625,92.12291717529297
2015-04-28,64.7946548461914,90.28685760498047
2015-04-29,63.31709289550781,86.85418701171875
2015-04-30,63.7794075012207,86.93400573730469
2015-05-04,64.78558349609375,86.60873413085938
2015-05-05,63.489322662353516,85.22624969482422
2015-05-06,63.28083419799805,86.16144561767578
2015-05-07,63.65248489379883,86.40543365478516
2015-05-08,64.7946548461914,89.1297378540039
2015-05-11,64.63147735595703,89.00774383544922
2015-05-12,63.52558898925781,87.38128662109375
2015-05-13,63.17207336425781,86.48674011230469
2015-05-14,64.11479949951172,87.82857513427734
2015-05-15,64.22357940673828,87.38128662109375
2015-05-18,64.55897521972656,87.86923217773438
2015-05-19,66.04558563232422,90.4308853149414
2015-05-20,65.69206237792969,90.67485809326172
2015-05-21,65.55609130859375,90.878173828125
2015-05-22,65.71924591064453,90.55287170410156
2015-05-25,65.82803344726562,90.63421630859375
2015-05-26,65.48357391357422,89.90229797363281
2015-05-27,65.54701232910156,91.32545471191406
2015-05-28,65.79175567626953,91.28477478027344
2015-05-29,64.66773986816406,89.00774383544922
2015-06-01,63.761268615722656,89.00774383544922
2015-06-02,62.709754943847656,88.51980590820312
2015-06-03,62.36531066894531,88.804443359375
2015-06-04,62.40155792236328,87.74725341796875
2015-06-05,60.95120620727539,87.1373291015625
2015-06-08,60.91494369506836,87.58460998535156
2015-06-09,61.123435974121094,87.17797088623047
2015-06-10,61.404441833496094,88.23517608642578
2015-06-11,62.5556640625,89.08907318115234
2015-06-12,61.44069290161133,87.86923217773438
2015-06-15,61.304725646972656,86.97467041015625
2015-06-16,61.99365234375,87.74725341796875
2015-06-17,61.38631820678711,87.38128662109375
2015-06-18,61.2956657409668,87.1373291015625
2015-06-19,61.44976806640625,88.15386199951172
2015-06-22,62.87293243408203,90.06493377685547
2015-06-23,63.7794075012207,91.52876281738281
