Date,GALP.LS,REP.MC
2014-12-31,6.5716400146484375,10.81878662109375
2015-01-02,6.619142055511475,10.83618450164795
2015-01-05,6.278840065002441,10.20285701751709
2015-01-06,6.20953369140625,10.171538352966309
2015-01-07,6.307653427124023,10.223736763000488
2015-01-08,6.5070061683654785,10.481243133544922
2015-01-09,6.394093036651611,10.091500282287598
2015-01-12,6.229001998901367,10.028865814208984
2015-01-13,6.271831035614014,10.178498268127441
2015-01-14,6.165925025939941,10.00102710723877
2015-01-15,6.564631462097168,10.345527648925781
2015-01-16,6.965672016143799,10.582158088684082
2015-01-19,6.837963581085205,10.62391471862793
2015-01-20,6.844971179962158,10.766590118408203
2015-01-21,7.2164225578308105,10.916221618652344
2015-01-22,7.203184604644775,11.13892936706543
2015-01-23,7.168920516967773,11.243325233459473
2015-01-26,7.495983123779297,11.299002647399902
2015-01-27,7.4749579429626465,11.326841354370117
2015-01-28,7.349584102630615,11.062373161315918
2015-01-29,7.333229064941406,11.06933307647705
2015-01-30,7.291959285736084,10.916221618652344
2015-02-02,7.621356964111328,11.111093521118164
2015-02-03,7.90403413772583,11.65046501159668
2015-02-04,7.8183746337890625,11.490392684936523
2015-02-05,7.978013515472412,11.525191307067871
2015-02-06,7.8650994300842285,11.532151222229004
2015-02-09,8.110395431518555,11.459074020385742
2015-02-10,7.78722620010376,11.375558853149414
2015-02-11,7.614349842071533,11.184168815612793
2015-02-12,7.775546073913574,11.445155143737793
2015-02-13,8.036417007446289,11.782699584960938
2015-02-16,8.118183135986328,11.740939140319824
2015-02-17,8.075353622436523,11.733981132507324
2015-02-18,8.168801307678223,11.85925579071045
2015-02-19,8.08703327178955,11.796619415283203
2015-02-20,8.184375762939453,11.740939140319824
2015-02-23,8.157119750976562,11.779218673706055
2015-02-24,8.250566482543945,11.887094497680664
2015-02-25,8.231099128723145,11.90101432800293
2015-02-26,8.122076988220215,11.94625186920166
2015-02-27,8.18048095703125,12.022807121276855
2015-03-02,7.9974799156188965,11.998448371887207
2015-03-03,7.837843418121338,11.887094497680664
2015-03-04,7.631481647491455,11.880134582519531
2015-03-05,7.727264404296875,11.935811042785645
2015-03-06,7.993588447570801,11.85925579071045
2015-03-09,7.978013515472412,11.887094497680664
2015-03-10,7.351140022277832,11.622627258300781
2015-03-11,7.494426727294922,11.580867767333984
2015-03-12,7.584758758544922,11.556509017944336
2015-03-13,7.315319538116455,11.323360443115234
2015-03-16,7.368274211883545,11.309440612792969
2015-03-17,7.475737571716309,11.396435737609863
2015-03-18,7.522459983825684,11.424277305603027
2015-03-19,7.716362953186035,11.54955005645752
2015-03-20,8.05978012084961,12.0889253616333
2015-03-23,8.05199146270752,12.075004577636719
2015-03-24,7.950756549835205,12.193318367004395
2015-03-25,8.09482192993164,12.109803199768066
2015-03-26,8.08703327178955,12.148080825805664
2015-03-27,8.083141326904297,11.998448371887207
2015-03-30,8.024737358093262,12.141119956970215
2015-03-31,7.837843418121338,12.064565658569336
2015-04-01,7.9429707527160645,12.200279235839844
2015-04-02,7.861205101013184,12.20723819732666
2015-04-07,8.499754905700684,12.569141387939453
2015-04-08,9.029289245605469,12.478666305541992
2015-04-09,9.290160179138184,12.687454223632812
2015-04-10,9.266799926757812,12.631776809692383
2015-04-13,9.539351463317871,12.812727928161621
2015-04-14,9.49262809753418,12.72921371459961
2015-04-15,9.628904342651367,12.851006507873535
2015-04-16,9.562714576721191,12.746611595153809
2015-04-17,9.344671249389648,12.600458145141602
2015-04-20,9.414756774902344,12.690935134887695
2015-04-21,9.251225471496582,12.656133651733398
2015-04-22,9.165566444396973,12.569141387939453
2015-04-23,9.336884498596191,12.677014350891113
2015-04-24,9.247331619262695,12.704854965209961
2015-04-27,9.368032455444336,12.878844261169434
2015-04-28,9.469266891479492,12.903204917907715
2015-04-29,9.399181365966797,12.798810005187988
2015-04-30,9.49262809753418,12.816207885742188
2015-05-04,9.410863876342773,12.8649263381958
2015-05-05,9.445905685424805,12.71877384185791
2015-05-06,9.399181365966797,12.826648712158203
2015-05-07,9.021501541137695,12.405590057373047
2015-05-08,9.18972110748291,12.656133651733398
2015-05-11,9.411066055297852,12.659616470336914
2015-05-12,9.415019989013672,12.607418060302734
2015-05-13,9.55731201171875,12.576101303100586
2015-05-14,9.403162002563477,12.63525676727295
2015-05-15,9.19762897491455,12.457785606384277
2015-05-18,9.098814010620117,12.419507026672363
2015-05-19,9.011857032775879,12.513463020324707
2015-05-20,8.920948028564453,12.607418060302734
2015-05-21,9.043477058410645,12.652656555175781
2015-05-22,8.999998092651367,12.663095474243164
2015-05-25,8.873517036437988,12.422987937927246
2015-05-26,8.569169998168945,12.294236183166504
2015-05-27,8.671936988830566,12.377748489379883
2015-05-28,8.545454025268555,12.20723819732666
2015-05-29,8.4743070602417,12.068044662475586
2015-06-01,8.454545974731445,12.05760669708252
2015-06-02,8.584979057312012,12.134161949157715
2015-06-03,8.557311058044434,12.137641906738281
2015-06-04,8.42292308807373,11.925373077392578
2015-06-05,8.470355033874512,11.866214752197266
2015-06-08,8.217391014099121,11.747899055480957
2015-06-09,8.260868072509766,11.727022171020508
2015-06-10,8.65612506866455,11.855774879455566
2015-06-11,8.893279075622559,11.90101432800293
2015-06-12,8.695651054382324,11.75485897064209
2015-06-15,8.608695983886719,11.566950798034668
2015-06-16,8.46245002746582,11.608708381652832
2015-06-17,8.521738052368164,11.601747512817383
2015-06-18,8.4743070602417,11.644039154052734
2015-06-19,8.648221969604492,11.565192222595215
2015-06-22,8.509881973266602,11.891325950622559
