Date,VZ,T
2014-12-31,35.71791076660156,23.9360294342041
2015-01-02,35.855350494384766,24.135557174682617
2015-01-05,35.557579040527344,23.907533645629883
2015-01-06,35.91642761230469,23.94316291809082
2015-01-07,35.68466567993164,23.972068786621094
2015-01-08,36.449493408203125,24.21056365966797
2015-01-09,36.12501907348633,24.138288497924805
2015-01-12,36.37224197387695,24.20333480834961
2015-01-13,36.449493408203125,24.20333480834961
2015-01-14,36.28726577758789,24.087703704833984
2015-01-15,36.387691497802734,24.037113189697266
2015-01-16,37.075279235839844,24.427371978759766
2015-01-20,37.22206497192383,24.53577995300293
2015-01-21,37.27613830566406,24.571916580200195
2015-01-22,36.92848205566406,24.420143127441406
2015-01-23,36.42631530761719,24.116613388061523
2015-01-26,36.2795295715332,23.97929573059082
2015-01-27,35.80826187133789,23.711898803710938
2015-01-28,35.57650375366211,23.617944717407227
2015-01-29,35.62286376953125,23.820301055908203
2015-01-30,35.3138313293457,23.791393280029297
2015-02-02,36.29499053955078,24.253923416137695
2015-02-03,36.95167541503906,24.81763458251953
2015-02-04,36.92848205566406,24.868215560913086
2015-02-05,36.97483444213867,24.962173461914062
2015-02-06,38.110511779785156,25.20066261291504
2015-02-09,37.92509841918945,25.034440994262695
2015-02-10,38.249568939208984,25.18621063232422
2015-02-11,38.48133850097656,24.85376739501953
2015-02-12,38.257286071777344,25.01276397705078
2015-02-13,38.09505844116211,25.048892974853516
2015-02-17,37.994625091552734,25.08502960205078
2015-02-18,37.809207916259766,24.926034927368164
2015-02-19,37.78602981567383,24.63695526123047
2015-02-20,37.8323860168457,24.62972640991211
2015-02-23,37.67787170410156,24.4635066986084
2015-02-24,38.0255241394043,24.608047485351562
2015-02-25,38.01007843017578,24.723684310913086
2015-02-26,38.14140701293945,24.933265686035156
2015-02-27,38.20321273803711,24.976627349853516
2015-03-02,38.21867370605469,25.034440994262695
2015-03-03,38.28047180175781,24.868215560913086
2015-03-04,37.90963363647461,24.571916580200195
2015-03-05,37.793758392333984,24.571916580200195
2015-03-06,37.30704879760742,24.196109771728516
2015-03-09,37.260684967041016,24.102153778076172
2015-03-10,36.70444107055664,23.690216064453125
2015-03-11,36.835777282714844,23.5745849609375
2015-03-12,37.64696502685547,23.943164825439453
2015-03-13,37.73196029663086,23.67576026916504
2015-03-16,38.06415557861328,23.892574310302734
2015-03-17,37.81692886352539,23.776939392089844
2015-03-18,38.27275085449219,24.27560043334961
2015-03-19,38.08732986450195,23.993757247924805
2015-03-20,38.28820037841797,24.015430450439453
2015-03-23,38.35000991821289,24.051563262939453
2015-03-24,38.17231369018555,23.899799346923828
2015-03-25,37.64696502685547,23.5745849609375
2015-03-26,37.407474517822266,23.71912384033203
2015-03-27,37.5156364440918,23.668533325195312
2015-03-30,37.948265075683594,23.827529907226562
2015-03-31,37.56971740722656,23.596267700195312
2015-04-01,37.793758392333984,23.76970672607422
2015-04-02,38.21867370605469,23.943164825439453
2015-04-06,38.3422737121582,24.087703704833984
2015-04-07,38.06415557861328,23.9648380279541
2015-04-08,38.38447570800781,23.935522079467773
2015-04-09,38.29072189331055,23.964839935302734
2015-04-10,38.45478820800781,24.02349090576172
2015-04-13,38.31416702270508,24.10413360595703
2015-04-14,38.42354965209961,23.964839935302734
2015-04-15,38.587615966796875,24.11145782470703
2015-04-16,38.49386215209961,24.008831024169922
2015-04-17,38.20478439331055,23.832883834838867
2015-04-20,38.579803466796875,24.06747817993164
2015-04-21,38.41572952270508,23.942852020263672
2015-04-22,38.728240966796875,24.089466094970703
2015-04-23,39.10326385498047,25.093809127807617
2015-04-24,39.087642669677734,24.932525634765625
2015-04-27,39.126708984375,24.991167068481445
2015-04-28,39.49391174316406,25.55565643310547
2015-04-29,39.43141174316406,25.482351303100586
2015-04-30,39.407962799072266,25.394378662109375
2015-05-01,39.384521484375,25.23309326171875
2015-05-04,39.47046661376953,25.313735961914062
2015-05-05,39.13451385498047,24.71993064880371
2015-05-06,38.78293991088867,24.470678329467773
2015-05-07,38.85324478149414,24.46334457397461
2015-05-08,39.173587799072266,24.697938919067383
2015-05-11,38.9079475402832,24.551321029663086
2015-05-12,38.76731872558594,24.675941467285156
2015-05-13,38.85324478149414,24.851884841918945
2015-05-14,39.0407600402832,25.020498275756836
2015-05-15,38.90012741088867,25.1671199798584
2015-05-18,38.75168991088867,25.562986373901367
2015-05-19,38.71261978149414,25.196435928344727
2015-05-20,38.82201385498047,25.379716873168945
2015-05-21,38.98607635498047,25.709606170654297
2015-05-22,38.759490966796875,25.445688247680664
2015-05-26,38.611053466796875,25.41636085510254
2015-05-27,38.728240966796875,25.621631622314453
2015-05-28,38.70481491088867,25.511672973632812
2015-05-29,38.626678466796875,25.32106590270996
2015-06-01,38.45478820800781,25.181777954101562
2015-06-02,38.39229202270508,25.189111709594727
2015-06-03,38.34541702270508,25.680278778076172
2015-06-04,37.579750061035156,25.856224060058594
2015-06-05,36.90004348754883,25.343059539794922
2015-06-08,37.06410598754883,25.35772132873535
2015-06-09,36.98598098754883,25.299070358276367
2015-06-10,37.08755111694336,25.453020095825195
2015-06-11,37.31412887573242,25.5703182220459
2015-06-12,36.91565704345703,25.401710510253906
2015-06-15,36.720340728759766,25.22576141357422
2015-06-16,37.04848861694336,25.41636085510254
2015-06-17,36.93129348754883,25.511672973632812
2015-06-18,37.32193374633789,25.67295265197754
2015-06-19,37.07973098754883,25.650957107543945
2015-06-22,37.134437561035156,25.687612533569336
2015-06-23,37.32193374633789,26.325410842895508
2015-06-24,36.946922302246094,26.230104446411133
