Date,VOW3.DE,VOW.DE
2015-01-02,156.83827209472656,157.1943359375
2015-01-05,151.51002502441406,152.42417907714844
2015-01-06,152.4553680419922,153.66087341308594
2015-01-07,153.4006805419922,154.4117431640625
2015-01-08,157.99842834472656,160.3744354248047
2015-01-09,155.46322631835938,156.75265502929688
2015-01-12,156.19369506835938,157.3710174560547
2015-01-13,159.67422485351562,161.34613037109375
2015-01-14,157.74061584472656,159.0493927001953
2015-01-15,160.2758026123047,161.78781127929688
2015-01-16,164.83056640625,165.7187957763672
2015-01-19,165.56101989746094,165.49794006347656
2015-01-20,165.90480041503906,167.0438232421875
2015-01-21,167.19387817382812,167.794677734375
2015-01-22,170.24468994140625,171.81398010253906
2015-01-23,175.14320373535156,176.40745544433594
2015-01-26,176.38931274414062,177.8208465576172
2015-01-27,173.5533447265625,175.921630859375
2015-01-28,175.4869842529297,178.3066864013672
2015-01-29,175.44398498535156,178.6600341796875
2015-01-30,170.4165802001953,174.15487670898438
2015-02-02,173.81117248535156,178.61585998535156
2015-02-03,177.97918701171875,182.54681396484375
2015-02-04,180.29953002929688,184.00437927246094
2015-02-05,182.79176330566406,185.24107360839844
2015-02-06,184.12380981445312,187.00782775878906
2015-02-09,178.3229522705078,180.8684539794922
2015-02-10,179.6979522705078,183.2093505859375
2015-02-11,180.6862335205078,183.56271362304688
2015-02-12,184.29568481445312,187.2728271484375
2015-02-13,182.74876403808594,185.24107360839844
2015-02-16,183.78009033203125,184.8877410888672
2015-02-17,182.49098205566406,184.71109008789062
2015-02-18,186.6160430908203,188.2003631591797
2015-02-19,191.77236938476562,192.30799865722656
2015-02-20,193.36221313476562,193.27967834472656
2015-02-23,196.4989776611328,196.23895263671875
2015-02-24,194.3075714111328,194.69305419921875
2015-02-25,191.6434326171875,192.74966430664062
2015-02-26,193.27627563476562,193.50051879882812
2015-02-27,193.79193115234375,195.5322723388672
2015-03-02,195.08102416992188,198.62403869628906
2015-03-03,190.4403076171875,193.85386657714844
2015-03-04,192.67471313476562,194.78138732910156
2015-03-05,193.9208221435547,197.16648864746094
2015-03-06,197.53025817871094,200.52325439453125
2015-03-09,199.54981994628906,201.05328369140625
2015-03-10,198.7763671875,200.78826904296875
2015-03-11,208.18667602539062,209.75437927246094
2015-03-12,207.45616149902344,208.252685546875
2015-03-13,212.91329956054688,212.6253204345703
2015-03-16,219.3157196044922,218.6763458251953
2015-03-17,216.95240783691406,218.63218688964844
2015-03-18,210.1202850341797,211.256103515625
2015-03-19,213.12814331054688,211.96279907226562
2015-03-20,214.88987731933594,214.03871154785156
2015-03-23,206.94052124023438,206.70680236816406
2015-03-24,210.8077850341797,209.35687255859375
2015-03-25,209.69058227539062,207.67849731445312
2015-03-26,209.08901977539062,207.81100463867188
2015-03-27,210.20623779296875,208.3851776123047
2015-03-30,214.76097106933594,213.50868225097656
2015-03-31,212.99923706054688,212.05113220214844
2015-04-01,210.2491912841797,211.0794219970703
2015-04-02,209.51870727539062,210.06356811523438
2015-04-07,210.2921600341797,210.24024963378906
2015-04-08,209.9913787841797,210.54942321777344
2015-04-09,214.503173828125,213.773681640625
2015-04-10,217.5969696044922,216.2471160888672
2015-04-13,213.68670654296875,212.13946533203125
2015-04-14,211.79612731933594,211.4327850341797
2015-04-15,208.57337951660156,208.95936584472656
2015-04-16,204.23345947265625,205.60260009765625
2015-04-17,201.9561004638672,201.9366455078125
2015-04-20,198.34666442871094,200.7440948486328
2015-04-21,195.94036865234375,199.37489318847656
2015-04-22,194.78021240234375,199.5074005126953
2015-04-23,196.41305541992188,199.72824096679688
2015-04-24,200.28028869628906,204.23336791992188
2015-04-27,210.9366912841797,213.33203125
2015-04-28,206.51084899902344,208.87103271484375
2015-04-29,198.3037109375,201.31826782226562
2015-04-30,198.90528869628906,200.78826904296875
2015-05-04,198.3896484375,200.92076110839844
2015-05-05,196.37010192871094,198.84487915039062
2015-05-06,193.87635803222656,196.4078369140625
2015-05-07,197.56423950195312,199.11566162109375
2015-05-08,203.71070861816406,203.40306091308594
2015-05-11,199.5837860107422,203.40306091308594
2015-05-12,193.6568603515625,197.08477783203125
2015-05-13,191.505615234375,196.9042510986328
2015-05-14,193.92027282714844,199.43154907226562
2015-05-15,189.39825439453125,194.33181762695312
2015-05-18,195.23739624023438,201.32704162597656
2015-05-19,204.76437377929688,210.08236694335938
2015-05-20,204.237548828125,209.27001953125
2015-05-21,202.3936004638672,207.2391357421875
2015-05-22,201.91065979003906,207.19400024414062
2015-05-26,198.74964904785156,204.2154083251953
2015-05-27,201.427734375,205.84010314941406
2015-05-28,199.1886749267578,202.13938903808594
2015-05-29,194.052001953125,198.12278747558594
2015-06-01,193.48126220703125,198.16790771484375
2015-06-02,190.49581909179688,194.37696838378906
2015-06-03,191.2421875,195.18930053710938
2015-06-04,191.1104736328125,194.51234436035156
2015-06-05,187.8177490234375,192.52662658691406
2015-06-08,185.0518341064453,189.36746215820312
2015-06-09,186.7201385498047,188.2392120361328
2015-06-10,191.3739013671875,193.9256591796875
2015-06-11,190.32020568847656,194.33181762695312
2015-06-12,187.3787078857422,191.5337371826172
2015-06-15,183.2957305908203,187.42684936523438
2015-06-16,184.21768188476562,187.87814331054688
2015-06-17,182.06643676757812,186.11807250976562
2015-06-18,184.61280822753906,185.71189880371094
2015-06-19,184.39329528808594,186.25347900390625
2015-06-22,191.3300018310547,194.4672088623047
2015-06-23,193.34951782226562,197.08477783203125
2015-06-24,191.76902770996094,194.7379913330078
2015-06-25,191.98854064941406,194.9185028076172
