Date,PEP,KO
2014-12-31,79.30390930175781,34.683589935302734
2015-01-02,79.20328521728516,34.61786651611328
2015-01-05,78.60782623291016,34.61786651611328
2015-01-06,78.01237487792969,34.880741119384766
2015-01-07,80.29352569580078,35.31613540649414
2015-01-08,81.7528305053711,35.743309020996094
2015-01-09,81.19930267333984,35.34899139404297
2015-01-12,80.86382293701172,35.02861404418945
2015-01-13,80.80511474609375,35.02039337158203
2015-01-14,81.073486328125,34.962886810302734
2015-01-15,81.073486328125,34.81502151489258
2015-01-16,81.59345245361328,34.93824768066406
2015-01-20,81.77796173095703,35.455787658691406
2015-01-21,81.68569946289062,35.62008285522461
2015-01-22,82.94371032714844,35.965118408203125
2015-01-23,82.63339233398438,35.57900619506836
2015-01-26,82.7676010131836,35.3243522644043
2015-01-27,81.11540985107422,34.8232421875
2015-01-28,80.2767562866211,34.4371337890625
2015-01-29,80.53672790527344,34.584991455078125
2015-01-30,78.64973449707031,33.82100296020508
2015-02-02,79.94967651367188,34.16604232788086
2015-02-03,80.6792984008789,34.19889450073242
2015-02-04,81.0147705078125,34.23998260498047
2015-02-05,81.02316284179688,34.33034133911133
2015-02-06,81.1070327758789,34.05103302001953
2015-02-09,80.48641967773438,33.87029266357422
2015-02-10,82.18049621582031,34.83145523071289
2015-02-11,84.20169067382812,34.80680847167969
2015-02-12,84.09266662597656,34.64250946044922
2015-02-13,83.1365966796875,34.494625091552734
2015-02-17,82.4908218383789,34.346763610839844
2015-02-18,83.3043441772461,34.281044006347656
2015-02-19,82.79273986816406,34.593223571777344
2015-02-20,83.07789611816406,34.478206634521484
2015-02-23,83.40495300292969,34.37962341308594
2015-02-24,83.51400756835938,34.609642028808594
2015-02-25,83.44689178466797,34.54392623901367
2015-02-26,83.0862808227539,34.880741119384766
2015-02-27,83.01078796386719,35.57080078125
2015-03-02,83.0275650024414,35.488643646240234
2015-03-03,82.52437591552734,35.28327560424805
2015-03-04,82.1993179321289,34.913597106933594
2015-03-05,82.08958435058594,34.83145523071289
2015-03-06,81.19462585449219,34.108524322509766
2015-03-09,81.08488464355469,34.00174331665039
2015-03-10,79.72557067871094,33.42669677734375
2015-03-11,79.05014038085938,32.94200897216797
2015-03-12,80.8062744140625,33.60465621948242
2015-03-13,79.63270568847656,33.05796813964844
2015-03-16,80.58673095703125,33.372737884521484
2015-03-17,79.4722900390625,33.554962158203125
2015-03-18,79.90286254882812,33.62950897216797
2015-03-19,79.44696044921875,33.149085998535156
2015-03-20,80.49386596679688,33.670921325683594
2015-03-23,80.92444610595703,33.646080017089844
2015-03-24,80.93289947509766,33.521827697753906
2015-03-25,80.42633056640625,33.5052604675293
2015-03-26,80.73873138427734,33.42243576049805
2015-03-27,81.00889587402344,33.198787689208984
2015-03-30,81.49012756347656,33.554962158203125
2015-03-31,80.73027801513672,33.58808898925781
2015-04-01,80.28280639648438,33.6957893371582
2015-04-02,80.78936767578125,33.6957893371582
2015-04-06,81.45635223388672,34.101654052734375
2015-04-07,81.22840881347656,33.9691162109375
2015-04-08,81.076416015625,33.869728088378906
2015-04-09,81.34660339355469,34.00224304199219
2015-04-10,81.2199478149414,33.86143493652344
2015-04-13,80.6542739868164,33.71234130859375
2015-04-14,81.46479034423828,33.554962158203125
2015-04-15,81.58300018310547,33.46385192871094
2015-04-16,81.43101501464844,33.62950897216797
2015-04-17,80.89069366455078,33.38101577758789
2015-04-20,81.47323608398438,33.67921447753906
2015-04-21,81.70964050292969,33.77860641479492
2015-04-22,82.13179016113281,34.217613220214844
2015-04-23,80.8231430053711,33.9194221496582
2015-04-24,80.35032653808594,33.869728088378906
2015-04-27,79.7762451171875,33.820030212402344
2015-04-28,79.7171401977539,33.77032470703125
2015-04-29,79.68334197998047,33.53840255737305
2015-04-30,80.30811309814453,33.59638214111328
2015-05-01,80.67960357666016,33.88629150390625
2015-05-04,81.00889587402344,33.927696228027344
2015-05-05,80.5614242553711,33.753753662109375
2015-05-06,80.61207580566406,33.67921447753906
2015-05-07,80.33346557617188,33.71234130859375
2015-05-08,81.5154800415039,33.94427490234375
2015-05-11,81.34660339355469,33.911128997802734
2015-05-12,81.2199478149414,33.70405578613281
2015-05-13,81.39725494384766,34.00224304199219
2015-05-14,82.73966979980469,34.375
2015-05-15,82.92542266845703,34.39155960083008
2015-05-18,82.78189086914062,34.22589111328125
2015-05-19,82.69744873046875,34.217613220214844
2015-05-20,82.47793579101562,34.25074005126953
2015-05-21,82.0642318725586,34.15134048461914
2015-05-22,81.27062225341797,34.13478088378906
2015-05-26,80.87381744384766,33.95255661010742
2015-05-27,81.37194061279297,34.06022644042969
2015-05-28,81.946044921875,34.0767936706543
2015-05-29,81.41414642333984,33.927696228027344
2015-06-01,81.02576446533203,33.911128997802734
2015-06-02,81.09331512451172,33.95255661010742
2015-06-03,81.0533218383789,33.853153228759766
2015-06-04,80.06675720214844,33.62123107910156
2015-06-05,79.13971710205078,33.21535110473633
2015-06-08,78.96109008789062,33.26504898071289
2015-06-09,79.1567153930664,33.298194885253906
2015-06-10,79.68401336669922,33.40586853027344
2015-06-11,80.02423095703125,33.489383697509766
2015-06-12,79.7265625,33.372459411621094
2015-06-15,78.7909927368164,33.063453674316406
2015-06-16,79.56494903564453,33.47267532348633
2015-06-17,79.99021911621094,33.63135528564453
2015-06-18,80.99382019042969,33.94871139526367
2015-06-19,80.6791000366211,33.73992156982422
2015-06-22,81.30850219726562,33.806739807128906
2015-06-23,81.30850219726562,33.72322463989258
2015-06-24,81.04483032226562,33.56454086303711
