Date,SEM.LS,ALTR.LS
2014-12-31,7.993803977966309,1.6013518571853638
2015-01-02,7.966239929199219,1.6406766176223755
2015-01-05,7.930798053741455,1.610377311706543
2015-01-06,7.867793083190918,1.6503466367721558
2015-01-07,7.68271541595459,1.6858032941818237
2015-01-08,7.915047645568848,1.7335084676742554
2015-01-09,7.875668048858643,1.736087441444397
2015-01-12,7.94261360168457,1.7502700090408325
2015-01-13,8.033181190490723,1.7953968048095703
2015-01-14,8.190695762634277,1.8082902431488037
2015-01-15,8.293078422546387,1.8179600238800049
2015-01-16,8.190695762634277,1.8121579885482788
2015-01-19,8.190695762634277,1.8566402196884155
2015-01-20,7.954426288604736,1.870822548866272
2015-01-21,7.94261360168457,1.8598634004592896
2015-01-22,7.91110897064209,1.9017667770385742
2015-01-23,7.978052616119385,1.914015531539917
2015-01-26,8.230073928833008,1.9804158210754395
2015-01-27,7.915047645568848,1.9468932151794434
2015-01-28,7.985929012298584,1.9398021697998047
2015-01-29,8.025306701660156,1.9746140241622925
2015-01-30,8.19857120513916,1.9791268110275269
2015-02-02,8.28520393371582,2.0203850269317627
2015-02-03,8.348209381103516,1.994598627090454
2015-02-04,8.308831214904785,2.030055046081543
2015-02-05,8.35214614868164,2.018451452255249
2015-02-06,8.39940071105957,2.0326337814331055
2015-02-09,8.190695762634277,1.9771925210952759
2015-02-10,8.186758041381836,1.9378681182861328
2015-02-11,8.281267166137695,1.9913753271102905
2015-02-12,8.348209381103516,1.9913753271102905
2015-02-13,8.53328800201416,1.9920196533203125
2015-02-16,8.360023498535156,1.947537899017334
2015-02-17,8.304892539978027,1.9385124444961548
2015-02-18,8.360023498535156,1.9597865343093872
2015-02-19,8.26551342010498,1.9514057636260986
2015-02-20,8.419089317321777,1.9339998960494995
2015-02-23,8.39940071105957,1.9494719505310059
2015-02-24,8.868003845214844,1.960431456565857
2015-02-25,9.214531898498535,1.9211068153381348
2015-02-26,9.61225414276123,1.9597865343093872
2015-02-27,9.734326362609863,2.002979278564453
2015-03-02,9.561062812805176,2.0145833492279053
2015-03-03,9.4744291305542,2.0397253036499023
2015-03-04,9.368108749389648,2.0120046138763428
2015-03-05,9.687073707580566,2.0764710903167725
2015-03-06,9.730388641357422,2.071958541870117
2015-03-09,9.832771301269531,2.079049825668335
2015-03-10,9.761893272399902,2.0887198448181152
2015-03-11,10.080856323242188,2.2286128997802734
2015-03-12,10.128110885620117,2.226033926010132
2015-03-13,10.234432220458984,2.229257345199585
2015-03-16,10.179302215576172,2.244084358215332
2015-03-17,10.108420372009277,2.1712372303009033
2015-03-18,9.998162269592285,2.306617498397827
2015-03-19,9.88790225982666,2.46649432182312
2015-03-20,10.08873176574707,2.4361953735351562
2015-03-23,10.11629581451416,2.4780986309051514
2015-03-24,10.187177658081055,2.556748151779175
2015-03-25,9.982410430908203,2.4710071086883545
2015-03-26,9.706761360168457,2.527737855911255
2015-03-27,9.883964538574219,2.576732635498047
2015-03-30,9.852461814880371,2.578666925430298
2015-03-31,9.797331809997559,2.5586822032928467
2015-04-01,9.836709022521973,2.559971332550049
2015-04-02,9.982410430908203,2.6399097442626953
2015-04-07,10.053290367126465,2.6450672149658203
2015-04-08,10.391944885253906,2.713402032852173
2015-04-09,10.970806121826172,2.7211382389068604
2015-04-10,11.171636581420898,2.7591731548309326
2015-04-13,10.970806121826172,2.7630412578582764
2015-04-14,10.742412567138672,2.772066831588745
2015-04-15,11.006247520446777,2.766909122467041
2015-04-16,10.71484661102295,2.6766560077667236
2015-04-17,10.502202987670898,2.615412473678589
2015-04-20,10.545520782470703,2.5657734870910645
2015-04-21,10.663655281066895,2.6212148666381836
2015-04-22,10.458888053894043,2.537407875061035
2015-04-23,10.380131721496582,2.5399866104125977
2015-04-24,10.45101261138916,2.6063873767852783
2015-04-27,10.628214836120605,2.6399097442626953
2015-04-28,10.48645305633545,2.6025195121765137
2015-04-29,10.183239936828613,2.489058017730713
2015-04-30,10.072981834411621,2.463271379470825
2015-05-04,10.474639892578125,2.483900308609009
2015-05-05,10.171426773071289,2.460047960281372
2015-05-06,10.00209903717041,2.475519895553589
2015-05-07,10.041476249694824,2.507122278213501
2015-05-08,10.419509887695312,2.584152936935425
2015-05-11,10.695094108581543,2.555842638015747
2015-05-12,10.727516174316406,2.5025136470794678
2015-05-13,10.670778274536133,2.4992218017578125
