Date,VOW.DE,VOW3.DE
2015-01-02,157.1943359375,156.83827209472656
2015-01-05,152.42417907714844,151.51002502441406
2015-01-06,153.66087341308594,152.4553680419922
2015-01-07,154.4117431640625,153.4006805419922
2015-01-08,160.3744354248047,157.99842834472656
2015-01-09,156.75265502929688,155.46322631835938
2015-01-12,157.3710174560547,156.19369506835938
2015-01-13,161.34613037109375,159.67422485351562
2015-01-14,159.0493927001953,157.74061584472656
2015-01-15,161.78781127929688,160.2758026123047
2015-01-16,165.7187957763672,164.83056640625
2015-01-19,165.49794006347656,165.56101989746094
2015-01-20,167.0438232421875,165.90480041503906
2015-01-21,167.794677734375,167.19387817382812
2015-01-22,171.81398010253906,170.24468994140625
2015-01-23,176.40745544433594,175.14320373535156
2015-01-26,177.8208465576172,176.38931274414062
2015-01-27,175.921630859375,173.5533447265625
2015-01-28,178.3066864013672,175.4869842529297
2015-01-29,178.6600341796875,175.44398498535156
2015-01-30,174.15487670898438,170.4165802001953
2015-02-02,178.61585998535156,173.81117248535156
2015-02-03,182.54681396484375,177.97918701171875
2015-02-04,184.00437927246094,180.29953002929688
2015-02-05,185.24107360839844,182.79176330566406
2015-02-06,187.00782775878906,184.12380981445312
2015-02-09,180.8684539794922,178.3229522705078
2015-02-10,183.2093505859375,179.6979522705078
2015-02-11,183.56271362304688,180.6862335205078
2015-02-12,187.2728271484375,184.29568481445312
2015-02-13,185.24107360839844,182.74876403808594
2015-02-16,184.8877410888672,183.78009033203125
2015-02-17,184.71109008789062,182.49098205566406
2015-02-18,188.2003631591797,186.6160430908203
2015-02-19,192.30799865722656,191.77236938476562
2015-02-20,193.27967834472656,193.36221313476562
2015-02-23,196.23895263671875,196.4989776611328
2015-02-24,194.69305419921875,194.3075714111328
2015-02-25,192.74966430664062,191.6434326171875
2015-02-26,193.50051879882812,193.27627563476562
2015-02-27,195.5322723388672,193.79193115234375
2015-03-02,198.62403869628906,195.08102416992188
2015-03-03,193.85386657714844,190.4403076171875
2015-03-04,194.78138732910156,192.67471313476562
2015-03-05,197.16648864746094,193.9208221435547
2015-03-06,200.52325439453125,197.53025817871094
2015-03-09,201.05328369140625,199.54981994628906
2015-03-10,200.78826904296875,198.7763671875
2015-03-11,209.75437927246094,208.18667602539062
2015-03-12,208.252685546875,207.45616149902344
2015-03-13,212.6253204345703,212.91329956054688
2015-03-16,218.6763458251953,219.3157196044922
2015-03-17,218.63218688964844,216.95240783691406
2015-03-18,211.256103515625,210.1202850341797
2015-03-19,211.96279907226562,213.12814331054688
2015-03-20,214.03871154785156,214.88987731933594
2015-03-23,206.70680236816406,206.94052124023438
2015-03-24,209.35687255859375,210.8077850341797
2015-03-25,207.67849731445312,209.69058227539062
2015-03-26,207.81100463867188,209.08901977539062
2015-03-27,208.3851776123047,210.20623779296875
2015-03-30,213.50868225097656,214.76097106933594
2015-03-31,212.05113220214844,212.99923706054688
2015-04-01,211.0794219970703,210.2491912841797
2015-04-02,210.06356811523438,209.51870727539062
2015-04-07,210.24024963378906,210.2921600341797
2015-04-08,210.54942321777344,209.9913787841797
2015-04-09,213.773681640625,214.503173828125
2015-04-10,216.2471160888672,217.5969696044922
2015-04-13,212.13946533203125,213.68670654296875
2015-04-14,211.4327850341797,211.79612731933594
2015-04-15,208.95936584472656,208.57337951660156
2015-04-16,205.60260009765625,204.23345947265625
2015-04-17,201.9366455078125,201.9561004638672
2015-04-20,200.7440948486328,198.34666442871094
2015-04-21,199.37489318847656,195.94036865234375
2015-04-22,199.5074005126953,194.78021240234375
2015-04-23,199.72824096679688,196.41305541992188
2015-04-24,204.23336791992188,200.28028869628906
2015-04-27,213.33203125,210.9366912841797
2015-04-28,208.87103271484375,206.51084899902344
2015-04-29,201.31826782226562,198.3037109375
2015-04-30,200.78826904296875,198.90528869628906
2015-05-04,200.92076110839844,198.3896484375
2015-05-05,198.84487915039062,196.37010192871094
2015-05-06,196.4078369140625,193.87635803222656
2015-05-07,199.11566162109375,197.56423950195312
2015-05-08,203.40306091308594,203.71070861816406
2015-05-11,203.40306091308594,199.5837860107422
2015-05-12,197.08477783203125,193.6568603515625
2015-05-13,196.9042510986328,191.505615234375
2015-05-14,199.43154907226562,193.92027282714844
2015-05-15,194.33181762695312,189.39825439453125
2015-05-18,201.32704162597656,195.23739624023438
2015-05-19,210.08236694335938,204.76437377929688
2015-05-20,209.27001953125,204.237548828125
2015-05-21,207.2391357421875,202.3936004638672
2015-05-22,207.19400024414062,201.91065979003906
2015-05-26,204.2154083251953,198.74964904785156
2015-05-27,205.84010314941406,201.427734375
2015-05-28,202.13938903808594,199.1886749267578
2015-05-29,198.12278747558594,194.052001953125
2015-06-01,198.16790771484375,193.48126220703125
2015-06-02,194.37696838378906,190.49581909179688
2015-06-03,195.18930053710938,191.2421875
2015-06-04,194.51234436035156,191.1104736328125
2015-06-05,192.52662658691406,187.8177490234375
2015-06-08,189.36746215820312,185.0518341064453
2015-06-09,188.2392120361328,186.7201385498047
2015-06-10,193.9256591796875,191.3739013671875
2015-06-11,194.33181762695312,190.32020568847656
2015-06-12,191.5337371826172,187.3787078857422
2015-06-15,187.42684936523438,183.2957305908203
2015-06-16,187.87814331054688,184.21768188476562
2015-06-17,186.11807250976562,182.06643676757812
2015-06-18,185.71189880371094,184.61280822753906
2015-06-19,186.25347900390625,184.39329528808594
2015-06-22,194.4672088623047,191.3300018310547
2015-06-23,197.08477783203125,193.34951782226562
2015-06-24,194.7379913330078,191.76902770996094
2015-06-25,194.9185028076172,191.98854064941406
