Date,ALTR.LS,BCP.LS,COR.LS,CTT.LS,EDPR.LS,EDP.LS,GALP.LS,IBS.LS,JMT.LS,EGL.LS,NOS.LS,NBA.LS,PHR.LS,RENE.LS,SEM.LS,SON.LS,SONC.LS,NVG.LS
2004-12-31,0.5189628601074219,7.601824760437012,0.6467925310134888,,,0.9122446775436401,,2.776124954223633,0.9414353370666504,1.1294472217559814,4.377052307128906,2.3564388751983643,3.448485851287842,,2.421546697616577,0.5810586214065552,0.8028371334075928,0.5826511979103088
2005-01-03,0.5275171995162964,7.64204216003418,0.6345888376235962,,,0.9081538319587708,,2.7818045616149902,0.9559935927391052,1.1465599536895752,4.379419326782227,2.3564388751983643,3.4295384883880615,,2.3920161724090576,0.5919194221496582,0.8178434371948242,0.5704278349876404
2005-01-04,0.538922905921936,7.6822686195373535,0.6284871697425842,,,0.9204261898994446,,2.753413438796997,0.9656990766525269,1.1807855367660522,4.438601493835449,2.3338897228240967,3.4446964263916016,,2.4038286209106445,0.6027803421020508,0.8328496813774109,0.5582044124603271
2005-01-05,0.5346457958221436,7.722485065460205,0.6345888376235962,,,0.9245171546936035,,2.787475824356079,0.9559935927391052,1.215011477470398,4.4977827072143555,2.315098524093628,3.425748586654663,,2.3920161724090576,0.6082108616828918,0.8403528332710266,0.5419065356254578
2005-01-06,0.5403486490249634,7.963817596435547,0.6345888376235962,,,0.9326987266540527,,2.793156385421753,0.9608462452888489,1.2207156419754028,4.4977827072143555,2.322614908218384,3.4295384883880615,,2.4156408309936523,0.6082108616828918,0.8403528332710266,0.5419065356254578
2005-01-07,0.5374972820281982,8.2051420211792,0.6467925310134888,,,0.9367893934249878,,2.787475824356079,0.9754049181938171,1.2606453895568848,4.519087791442871,2.311340093612671,3.46364426612854,,2.4156408309936523,0.6082108616828918,0.8403528332710266,0.5459808707237244
2005-01-10,0.538922905921936,8.044262886047363,0.707810640335083,,,0.9286078810691833,,2.8328990936279297,0.9724928736686707,1.2606453895568848,4.509618759155273,2.285032033920288,3.4333274364471436,,2.421546697616577,0.597350001335144,0.8253465890884399,0.5459808707237244
2005-01-11,0.5432000756263733,7.923590183258057,0.7322180867195129,,,0.9326987266540527,,2.8158671855926514,0.9909334778785706,1.2549412250518799,4.504883766174316,2.2812740802764893,3.4295384883880615,,2.4038286209106445,0.597350001335144,0.8253465890884399,0.5500554442405701
2005-01-12,0.5417744517326355,7.923590183258057,0.707810640335083,,,0.9245171546936035,,2.8385703563690186,1.019079327583313,1.283462643623352,4.4977827072143555,2.292548656463623,3.4219586849212646,,2.421546697616577,0.597350001335144,0.8253465890884399,0.5500554442405701
2005-01-13,0.5446257591247559,7.963817596435547,0.7139125466346741,,,0.9245171546936035,,2.8385703563690186,1.0103446245193481,1.283462643623352,4.511986255645752,2.315098524093628,3.4333274364471436,,2.4156408309936523,0.6027803421020508,0.8328496813774109,0.5459808707237244
2005-01-14,0.5474773049354553,7.963817596435547,0.707810640335083,,,0.9081538319587708,,2.8385703563690186,1.004521131515503,1.2720539569854736,4.500149726867676,2.315098524093628,3.4295384883880615,,2.421546697616577,0.6027803421020508,0.8328496813774109,0.5459808707237244
2005-01-17,0.5517544746398926,8.084480285644531,0.7139125466346741,,,0.9204261898994446,,2.8385703563690186,1.0171382427215576,1.2606453895568848,4.519087791442871,2.3000648021698,3.4825921058654785,,2.42745304107666,0.597350001335144,0.8253465890884399,0.5541297197341919
2005-01-18,0.5645859241485596,8.084480285644531,0.707810640335083,,,0.9122446775436401,,2.8385703563690186,1.0229614973068237,1.283462643623352,4.559331893920898,2.3000648021698,3.490171194076538,,2.439265727996826,0.6027803421020508,0.8328496813774109,0.5500554442405701
2005-01-19,0.568863034248352,8.124696731567383,0.7139125466346741,,,0.9163356423377991,,2.8556017875671387,1.021020531654358,1.283462643623352,4.578269004821777,2.292548656463623,3.5129075050354004,,2.5160467624664307,0.6082108616828918,0.8403528332710266,0.5459808707237244
2005-01-20,0.5916748046875,8.124696731567383,0.7139125466346741,,,0.9122446775436401,,2.9294071197509766,1.0103446245193481,1.294871211051941,4.580636501312256,2.292548656463623,3.5280661582946777,,2.4865148067474365,0.6136413216590881,0.8478559851646423,0.5582044124603271
2005-01-21,0.600229024887085,8.2051420211792,0.707810640335083,,,0.9163356423377991,,2.9294071197509766,1.0093740224838257,1.3005754947662354,4.592473030090332,2.3038229942321777,3.562171459197998,,2.5101401805877686,0.6136413216590881,0.8478559851646423,0.5582044124603271
2005-01-24,0.6045061945915222,8.2051420211792,0.707810640335083,,,0.9163356423377991,,2.997533082962036,1.00355064868927,1.329096794128418,4.583003520965576,2.292548656463623,3.562171459197998,,2.5042338371276855,0.6190716624259949,0.8553590774536133,0.5582044124603271
2005-01-25,0.5973775386810303,8.2051420211792,0.707810640335083,,,0.9122446775436401,,2.997533082962036,1.0093740224838257,1.4260698556900024,4.592473030090332,2.3000648021698,3.5242769718170166,,2.551483631134033,0.6190716624259949,0.8553590774536133,0.5582044124603271
2005-01-26,0.5959517955780029,8.245368957519531,0.707810640335083,,,0.9163356423377991,,2.9918532371520996,1.0161678791046143,1.40895676612854,4.611410617828369,2.315098524093628,3.531855821609497,,2.6341705322265625,0.6190716624259949,0.8553590774536133,0.5541297197341919
2005-01-27,0.6016547679901123,8.124696731567383,0.7261161804199219,,,0.9081538319587708,,2.9918532371520996,1.004521131515503,1.3975480794906616,4.616145610809326,2.296306848526001,3.558382749557495,,2.69913911819458,0.6245021224021912,0.8628622889518738,0.5663533210754395
