Date,Stocks,Bond,Gold
2012-12-31,1426.18994140625,22.510700225830078,162.02000427246094
2013-01-02,1462.4200439453125,22.474916458129883,163.1699981689453
2013-01-03,1459.3699951171875,22.412282943725586,161.1999969482422
2013-01-04,1466.469970703125,22.421228408813477,160.44000244140625
2013-01-07,1461.8900146484375,22.403335571289062,159.42999267578125
2013-01-08,1457.1500244140625,22.45702362060547,160.55999755859375
2013-01-09,1461.02001953125,22.439130783081055,160.49000549316406
2013-01-10,1472.1199951171875,22.421228408813477,161.97999572753906
2013-01-11,1472.050048828125,22.45702362060547,161.05999755859375
2013-01-14,1470.6800537109375,22.474916458129883,161.5399932861328
2013-01-15,1472.3399658203125,22.50175666809082,162.55999755859375
2013-01-16,1472.6300048828125,22.4928035736084,162.64999389648438
2013-01-17,1480.93994140625,22.439130783081055,163.35000610351562
2013-01-18,1485.97998046875,22.483869552612305,163.08999633789062
2013-01-22,1492.56005859375,22.483869552612305,163.6699981689453
2013-01-23,1494.81005859375,22.50175666809082,163.2100067138672
2013-01-24,1494.8199462890625,22.483869552612305,161.4199981689453
2013-01-25,1502.9599609375,22.385438919067383,160.64999389648438
2013-01-28,1500.1800537109375,22.358596801757812,160.2899932861328
2013-01-29,1507.8399658203125,22.331762313842773,160.99000549316406
2013-01-30,1501.9599609375,22.3407039642334,162.19000244140625
2013-01-31,1498.1099853515625,22.376493453979492,161.1999969482422
2013-02-01,1513.1700439453125,22.31293296813965,161.4499969482422
2013-02-04,1495.7099609375,22.393516540527344,162.0
2013-02-05,1511.2900390625,22.357688903808594,161.9600067138672
2013-02-06,1512.1199951171875,22.375598907470703,162.38999938964844
2013-02-07,1509.3900146484375,22.375598907470703,161.83999633789062
2013-02-08,1517.9300537109375,22.393516540527344,161.57000732421875
2013-02-11,1517.010009765625,22.384565353393555,159.6999969482422
2013-02-12,1519.4300537109375,22.36665153503418,159.88999938964844
2013-02-13,1520.3299560546875,22.321880340576172,159.0500030517578
2013-02-14,1521.3800048828125,22.375598907470703,158.35000610351562
2013-02-15,1519.7900390625,22.357688903808594,155.75999450683594
2013-02-19,1530.93994140625,22.339786529541016,155.3300018310547
2013-02-20,1511.949951171875,22.375598907470703,151.44000244140625
2013-02-21,1502.4200439453125,22.384565353393555,152.6199951171875
2013-02-22,1515.5999755859375,22.393516540527344,152.97000122070312
2013-02-25,1487.8499755859375,22.509912490844727,154.33999633789062
2013-02-26,1496.93994140625,22.49200439453125,156.22000122070312
2013-02-27,1515.989990234375,22.465147018432617,154.57000732421875
2013-02-28,1514.6800537109375,22.483055114746094,153.0
2013-03-01,1518.199951171875,22.507238388061523,152.44000244140625
2013-03-04,1525.199951171875,22.489316940307617,152.3000030517578
2013-03-05,1539.7900390625,22.471397399902344,152.3800048828125
2013-03-06,1541.4599609375,22.42660903930664,153.22999572753906
2013-03-07,1544.260009765625,22.390756607055664,152.69000244140625
2013-03-08,1551.1800537109375,22.328044891357422,152.7100067138672
2013-03-11,1556.219970703125,22.328044891357422,152.99000549316406
2013-03-12,1552.47998046875,22.372833251953125,154.19000244140625
2013-03-13,1554.52001953125,22.363866806030273,153.66000366210938
2013-03-14,1563.22998046875,22.354921340942383,153.67999267578125
2013-03-15,1560.699951171875,22.39972686767578,154.0
2013-03-18,1552.0999755859375,22.42660903930664,155.3800048828125
2013-03-19,1548.3399658203125,22.48036003112793,156.0800018310547
2013-03-20,1558.7099609375,22.41763687133789,155.3699951171875
2013-03-21,1545.800048828125,22.44452667236328,156.25
2013-03-22,1556.8900146484375,22.45347785949707,155.5500030517578
2013-03-25,1551.68994140625,22.471397399902344,155.24000549316406
2013-03-26,1563.77001953125,22.462438583374023,154.72000122070312
2013-03-27,1562.8499755859375,22.507238388061523,155.36000061035156
2013-03-28,1569.18994140625,22.52515983581543,154.4499969482422
2013-04-01,1562.1700439453125,22.51618766784668,154.6699981689453
2013-04-02,1570.25,22.50722312927246,152.42999267578125
2013-04-03,1553.68994140625,22.561025619506836,150.72999572753906
2013-04-04,1559.97998046875,22.605863571166992,150.2899932861328
2013-04-05,1553.280029296875,22.668630599975586,152.80999755859375
2013-04-08,1563.0699462890625,22.650699615478516,152.16000366210938
2013-04-09,1568.6099853515625,22.650699615478516,153.33999633789062
2013-04-10,1587.72998046875,22.57895851135254,150.75
2013-04-11,1593.3699951171875,22.596891403198242,151.0500030517578
2013-04-12,1588.8499755859375,22.64173126220703,143.9499969482422
2013-04-15,1552.3599853515625,22.68656349182129,131.30999755859375
2013-04-16,1574.5699462890625,22.65966796875,132.8000030517578
2013-04-17,1552.010009765625,22.668630599975586,132.8699951171875
2013-04-18,1541.6099853515625,22.68656349182129,134.3000030517578
2013-04-19,1555.25,22.65966796875,135.47000122070312
2013-04-22,1562.5,22.67760467529297,137.89999389648438
2013-04-23,1578.780029296875,22.65966796875,136.8800048828125
2013-04-24,1578.7900390625,22.668630599975586,138.3699951171875
2013-04-25,1585.1600341796875,22.67760467529297,141.6300048828125
2013-04-26,1582.239990234375,22.722427368164062,140.91000366210938
2013-04-29,1593.6099853515625,22.713462829589844,142.3000030517578
2013-04-30,1597.5699462890625,22.704500198364258,142.77000427246094
2013-05-01,1582.699951171875,22.763742446899414,141.11000061035156
2013-05-02,1597.5899658203125,22.745790481567383,141.9199981689453
2013-05-03,1614.4200439453125,22.647058486938477,142.08999633789062
2013-05-06,1617.5,22.620121002197266,142.14999389648438
2013-05-07,1625.9599609375,22.61114501953125,140.3800048828125
2013-05-08,1632.68994140625,22.620121002197266,142.4600067138672
