Date,SP,Bond,EM,Gold
2013-01-02,0.025403420320955883,-0.0015893302744047766,0.019616844442137626,0.007097851290946089
2013-01-03,-0.0020856174946130013,-0.002786827223399957,-0.007076786454929929,-0.012073305404241008
2013-01-04,0.004865096315322948,0.00039920619614797204,0.0020047179094255796,-0.004714606211065564
2013-01-07,-0.0031231161538831653,-0.0007982656801450716,-0.00755714111612138,-0.006295249004336423
2013-01-08,-0.003242371304872038,0.0023961081499157544,-0.008958681413298586,0.007087781062064646
2013-01-09,0.002655865938542279,-0.0007965646892817979,0.004293723057986032,-0.0004359246792099425
2013-01-10,0.007597415119266371,-0.0007974573425588716,0.008775874329593814,0.00928400637657445
2013-01-11,-4.7513986152325494e-05,0.0015959297388687954,-0.008030279445031874,-0.0056797023904903154
2013-01-14,-0.0009306715612543703,0.0007972511610596644,0.004272277578312389,0.002980229323326755
2013-01-15,0.0011286697641588184,0.001193595107434664,-0.00425410287000505,0.006314252289550515
2013-01-16,0.00019699191031485874,-0.00039710525087555126,-0.0008995555718592785,0.0005536192128581252
2013-01-17,0.005642922184040833,-0.0023866622436852225,0.005626978409892125,0.00430379485582244
2013-01-18,0.0034032703971196288,0.0019932998468805696,0.0022378116848760232,-0.0015917340429129068
2013-01-22,0.004428106846314561,0.0,-0.0015630211419708218,0.003556329904214506
2013-01-23,0.001507477027169024,0.000795699520069082,-0.005367854575056397,-0.00281048121356553
2013-01-24,6.614683421224399e-06,-0.0007950668857297227,-0.003598018491430599,-0.01096751713306432
2013-01-25,0.005445481690718124,-0.004377118719242623,-0.003385207740510321,-0.004770191309598659
2013-01-28,-0.0018496216125600817,-0.001199054804956634,-0.007019982816372505,-0.0022409002429438774
2013-01-29,0.005105995170664235,-0.0012003218900118462,0.01117453699842863,0.004367160997889918
2013-01-30,-0.0038996213232838084,0.00040021420693125975,-0.004736104459805324,0.0074538599123976645
2013-01-31,-0.0025633010773032927,0.0016022002802966728,0.002039388612631532,-0.006103985931695921
2013-02-01,0.010052705569688847,-0.00284085257613087,0.006558034563282078,0.0015508685157126223
2013-02-04,-0.011538744820964397,0.003611532203203094,-0.01325560614996435,0.0034066464054138823
