Date,SP,Bond,EM,Gold
2012-12-31,1426.18994140625,22.28097915649414,37.33540344238281,162.02000427246094
2013-01-02,1462.4200439453125,22.245567321777344,38.067806243896484,163.1699981689453
2013-01-03,1459.3699951171875,22.18357276916504,37.79840850830078,161.1999969482422
2013-01-04,1466.469970703125,22.192428588867188,37.874183654785156,160.44000244140625
2013-01-07,1461.8900146484375,22.174713134765625,37.58796310424805,159.42999267578125
2013-01-08,1457.1500244140625,22.227846145629883,37.251224517822266,160.55999755859375
2013-01-09,1461.02001953125,22.210140228271484,37.411170959472656,160.49000549316406
2013-01-10,1472.1199951171875,22.192428588867188,37.73948669433594,161.97999572753906
2013-01-11,1472.050048828125,22.227846145629883,37.43642807006836,161.05999755859375
2013-01-14,1470.6800537109375,22.245567321777344,37.59636688232422,161.5399932861328
2013-01-15,1472.3399658203125,22.272119522094727,37.43642807006836,162.55999755859375
2013-01-16,1472.6300048828125,22.263275146484375,37.40275192260742,162.64999389648438
2013-01-17,1480.93994140625,22.210140228271484,37.613216400146484,163.35000610351562
2013-01-18,1485.97998046875,22.254411697387695,37.6973876953125,163.08999633789062
2013-01-22,1492.56005859375,22.254411697387695,37.638465881347656,163.6699981689453
2013-01-23,1494.81005859375,22.272119522094727,37.43642807006836,163.2100067138672
2013-01-24,1494.8199462890625,22.254411697387695,37.30173110961914,161.4199981689453
2013-01-25,1502.9599609375,22.157001495361328,37.17545700073242,160.64999389648438
2013-01-28,1500.1800537109375,22.130434036254883,36.914485931396484,160.2899932861328
2013-01-29,1507.8399658203125,22.103870391845703,37.326988220214844,160.99000549316406
2013-01-30,1501.9599609375,22.112716674804688,37.150203704833984,162.19000244140625
2013-01-31,1498.1099853515625,22.14814567565918,37.22596740722656,161.1999969482422
2013-02-01,1513.1700439453125,22.08522605895996,37.470096588134766,161.4499969482422
2013-02-04,1495.7099609375,22.164987564086914,36.97340774536133,162.0
2013-02-05,1511.2900390625,22.129539489746094,37.015506744384766,161.9600067138672
2013-02-06,1512.1199951171875,22.14725685119629,36.97340774536133,162.38999938964844
2013-02-07,1509.3900146484375,22.14725685119629,36.645103454589844,161.83999633789062
2013-02-08,1517.9300537109375,22.164987564086914,36.914485931396484,161.57000732421875
2013-02-11,1517.010009765625,22.156124114990234,36.89765548706055,159.6999969482422
2013-02-12,1519.4300537109375,22.13840103149414,36.99867248535156,159.88999938964844
2013-02-13,1520.3299560546875,22.09408950805664,37.183876037597656,159.0500030517578
2013-02-14,1521.3800048828125,22.14725685119629,37.16703796386719,158.35000610351562
2013-02-15,1519.7900390625,22.129539489746094,37.03235626220703,155.75999450683594
2013-02-19,1530.93994140625,22.111818313598633,37.10810852050781,155.3300018310547
2013-02-20,1511.949951171875,22.14725685119629,36.7797966003418,151.44000244140625
2013-02-21,1502.4200439453125,22.156124114990234,36.27469253540039,152.6199951171875
2013-02-22,1515.5999755859375,22.164987564086914,36.43463897705078,152.97000122070312
2013-02-25,1487.8499755859375,22.280200958251953,35.94638442993164,154.33999633789062
2013-02-26,1496.93994140625,22.26247215270996,36.14842224121094,156.22000122070312
2013-02-27,1515.989990234375,22.235883712768555,36.5440788269043,154.57000732421875
2013-02-28,1514.6800537109375,22.253616333007812,36.37570571899414,153.0
2013-03-01,1518.199951171875,22.277557373046875,36.45989990234375,152.44000244140625
2013-03-04,1525.199951171875,22.259815216064453,36.114742279052734,152.3000030517578
2013-03-05,1539.7900390625,22.242074966430664,36.55249786376953,152.3800048828125
2013-03-06,1541.4599609375,22.197736740112305,36.72928237915039,153.22999572753906
2013-03-07,1544.260009765625,22.162263870239258,36.830299377441406,152.69000244140625
2013-03-08,1551.1800537109375,22.100194931030273,37.150203704833984,152.7100067138672
2013-03-11,1556.219970703125,22.100194931030273,36.94816207885742,152.99000549316406
2013-03-12,1552.47998046875,22.144527435302734,36.52723693847656,154.19000244140625
2013-03-13,1554.52001953125,22.13566017150879,36.182090759277344,153.66000366210938
2013-03-14,1563.22998046875,22.126794815063477,36.333621978759766,153.67999267578125
2013-03-15,1560.699951171875,22.17112922668457,36.00530242919922,154.0
2013-03-18,1552.0999755859375,22.197736740112305,35.60122299194336,155.3800048828125
2013-03-19,1548.3399658203125,22.25094223022461,35.34867477416992,156.0800018310547
2013-03-20,1558.7099609375,22.188879013061523,35.55070495605469,155.3699951171875
2013-03-21,1545.800048828125,22.215476989746094,35.188720703125,156.25
2013-03-22,1556.8900146484375,22.224336624145508,35.323421478271484,155.5500030517578
2013-03-25,1551.68994140625,22.242074966430664,35.289737701416016,155.24000549316406
2013-03-26,1563.77001953125,22.233217239379883,35.79484939575195,154.72000122070312
2013-03-27,1562.8499755859375,22.277557373046875,35.92953872680664,155.36000061035156
2013-03-28,1569.18994140625,22.2952880859375,36.00530242919922,154.4499969482422
2013-04-01,1562.1700439453125,22.286422729492188,35.61805725097656,154.6699981689453
2013-04-02,1570.25,22.277536392211914,35.63490295410156,152.42999267578125
2013-04-03,1553.68994140625,22.330791473388672,35.213985443115234,150.72999572753906
2013-04-04,1559.97998046875,22.375165939331055,35.11295700073242,150.2899932861328
2013-04-05,1553.280029296875,22.437301635742188,35.028770446777344,152.80999755859375
2013-04-08,1563.0699462890625,22.419557571411133,35.087703704833984,152.16000366210938
2013-04-09,1568.6099853515625,22.419557571411133,35.432857513427734,153.33999633789062
2013-04-10,1587.72998046875,22.34853744506836,35.76959228515625,150.75
2013-04-11,1593.3699951171875,22.366294860839844,35.80326461791992,151.0500030517578
2013-04-12,1588.8499755859375,22.410659790039062,35.25606918334961,143.9499969482422
